name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"Zeno100 (4+8GB RAM, 64GB ROM) | 5000mAh Battery with Type-C | 90Hz Display | Side Fingerprint | Military Grade Protection | Octa-Core Processor | Pure Black",Zeno100,smartphones,8499.0,8699.0,2.0,3.8,59.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:12.882070
"REDMI A7 Pro 5G (Black, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,11999.0,15999.0,25.0,3.6,260.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-16,2026-05-16T22:49:13.091062
"Zeno 100 (3+5GB RAM, 64GB ROM) | 5000mAh Battery with Type-C | 90Hz Display | Side Fingerprint | Military Grade Protection | Octa-Core Processor | Titanium Gold",Zeno,smartphones,8099.0,9799.0,17.0,3.8,59.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:13.311167
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1365.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:13.485060
"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording",OnePlus,smartphones,,,,,,0,,,amazon,2026-05-16,2026-05-16T22:49:13.640060
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",SAMSUNG,smartphones,9499.0,10999.0,14.0,3.7,90.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:13.781296
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,21999.0,25999.0,15.0,4.3,2606.0,1,"FREE delivery Mon, 18 May",,amazon,2026-05-16,2026-05-16T22:49:13.998371
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,13999.0,13999.0,,4.0,2784.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:14.164434
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,4.1,320.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:14.317382
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,21930.0,28999.0,24.0,4.1,84.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-16,2026-05-16T22:49:14.475336
"Lava Bold N2 (Indus Black, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8299.0,10499.0,21.0,3.5,100.0,1,"FREE delivery Mon, 18 May",,amazon,2026-05-16,2026-05-16T22:49:14.605757
