name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,15999.0,16999.0,6.0,3.5,351.0,1,FREE delivery 24 - 27 May,,amazon,2026-05-22,2026-05-22T21:57:10.360184
"Lava Bold N2 (Indus Black, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8899.0,10499.0,15.0,3.6,109.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:10.768986
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1396.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:11.024991
"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording",OnePlus,smartphones,22999.0,31999.0,28.0,4.0,29.0,1,"FREE delivery Mon, 25 May",,amazon,2026-05-22,2026-05-22T21:57:12.118377
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,4.1,322.0,1,"FREE delivery Wed, 27 May",,amazon,2026-05-22,2026-05-22T21:57:12.929910
"realme NARZO 80 Pro 5G (Speed Silver,12GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,23999.0,27999.0,14.0,4.3,2675.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:13.325440
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,13999.0,13999.0,,4.0,2811.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:13.733982
"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",iQOO,smartphones,26999.0,26999.0,,4.4,4303.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-22,2026-05-22T21:57:15.261664
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,14499.0,16499.0,12.0,4.1,2567.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:16.045022
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,,,,4.2,405.0,0,,,amazon,2026-05-22,2026-05-22T21:57:17.864504
Redmi 15 5G Midnight Black 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,Redmi,smartphones,22499.0,36999.0,39.0,4.1,1981.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:19.025448
"REDMI Note 15 5G (Black, 8GB RAM 128GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | 5520mAh Battery | 45W Fast Charging",REDMI,smartphones,24999.0,26999.0,7.0,4.1,721.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:21.016749
REDMI 15 5G Frosted White 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,REDMI,smartphones,22499.0,36999.0,39.0,4.1,1981.0,1,"FREE delivery Mon, 25 May",,amazon,2026-05-22,2026-05-22T21:57:21.651690
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",SAMSUNG,smartphones,9621.0,10999.0,13.0,3.7,102.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:25.596672
Poco C85 5G Power Black 6GB RAM 128GB ROM,Poco,smartphones,14499.0,15499.0,6.0,3.9,64.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:26.109557
"iQOO 15R (Triumph Silver, 12GB RAM, 512GB Storage) | Snapdragon® 8 Gen 5 Processor | India’s Slimmest Smartphone in 7600mAh Battery* | Segment's Most Stable 144FPS Gaming*",iQOO,smartphones,57999.0,61999.0,6.0,4.4,760.0,1,"FREE delivery Sun, 24 May",,amazon,2026-05-22,2026-05-22T21:57:26.712166
