name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"Zeno100 (3+5GB RAM, 64GB ROM) | 5000mAh Battery with Type-C | 90Hz Display | Side Fingerprint | Military Grade Protection | Octa-Core Processor | Pure Black",Zeno100,smartphones,7799.0,8299.0,6.0,3.7,37.0,1,"FREE delivery Sat, 2 May",,amazon,2026-04-27,2026-04-27T23:26:15.734963
"Lava Bold N2 (Siachen White, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8899.0,9499.0,6.0,3.6,63.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:15.869904
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,11499.0,13999.0,18.0,4.0,2654.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:16.023926
"iQOO Z10 Lite 5G (Titanium Blue, 8GB RAM, 256GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",iQOO,smartphones,,,,4.2,6715.0,0,,,amazon,2026-04-27,2026-04-27T23:26:16.117075
"POCO C71, Cool Blue (4GB, 64GB)",POCO,smartphones,8999.0,8999.0,,4.0,2695.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:16.220135
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,20999.0,25999.0,19.0,4.3,2454.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:16.379933
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,16199.0,17999.0,10.0,4.2,332.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:16.534798
"Vivo T4x 5G (Marine Blue, 128 GB) (8 GB RAM)",Vivo,smartphones,19490.0,19490.0,,4.4,3204.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:16.680538
"acerpure Acerone Liquid 4G Smartphone (Blue, 4GB RAM, 64GB Storage) with 6.5"" IPS Display, 20MP Rear Camera, 5000mAh Battery, Android 14, Octa-Core MT6765 Processor",acerpure,smartphones,6999.0,18900.0,63.0,3.4,8.0,1,"FREE delivery Mon, 4 May",,amazon,2026-04-27,2026-04-27T23:26:16.969124
"realme NARZO 90 5G (Carbon Black,8GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front & Rear AI Cameras | 4000nits Brightest Display | AI Assist | IP69 Dust & Water Resistance",realme,smartphones,18999.0,19999.0,5.0,4.2,669.0,1,"FREE delivery Wed, 29 Apr",,amazon,2026-04-27,2026-04-27T23:26:17.114287
