name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,11999.0,15999.0,25.0,3.6,274.0,1,"FREE delivery Sat, 23 May",,amazon,2026-05-17,2026-05-17T22:59:36.827480
"Lava Bold N2 (Indus Black, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8299.0,10499.0,21.0,3.5,101.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.000471
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,21999.0,25999.0,15.0,4.3,2619.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.160504
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,17480.0,17999.0,3.0,4.3,392.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.322480
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,4.1,321.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.458495
"realme NARZO 90x 5G (Flash Blue,8GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in the Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker",realme,smartphones,17999.0,17999.0,,4.2,1147.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.602475
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,14499.0,16499.0,12.0,4.1,2459.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.751477
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1373.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:37.916479
"Zeno 100 (3+5GB RAM, 64GB ROM) | 5000mAh Battery with Type-C | 90Hz Display | Side Fingerprint | Military Grade Protection | Octa-Core Processor | Titanium Gold",Zeno,smartphones,8099.0,9799.0,17.0,3.8,60.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:38.226472
Redmi 15 5G Midnight Black 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,Redmi,smartphones,22499.0,36999.0,39.0,4.1,1919.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:38.365522
"REDMI Note 15 5G (Black, 8GB RAM 128GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | 5520mAh Battery | 45W Fast Charging",REDMI,smartphones,24999.0,26999.0,7.0,4.1,694.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:38.515511
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,22399.0,28999.0,23.0,4.1,85.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:38.657581
"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",iQOO,smartphones,26998.0,26998.0,,4.4,4258.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:38.775471
"iQOO Z10 5G (Stellar Black, 8GB RAM, 128GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7s Gen 3 Processor | Brightest Quad Curved AMOLED Display in the Segment",iQOO,smartphones,24998.0,25999.0,4.0,4.4,5266.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:38.906474
"Samsung Galaxy M56 5G Mobile (Black, 8GB RAM, 128GB Storage)| Segment Slimmest | Gorilla Glass Victus+ | 10 Bit HDR Video | 50MP Camera | AI | Vapour Cooling Chamber | Lag-free Gaming| Without Charger",Samsung,smartphones,23499.0,33999.0,31.0,4.3,1639.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.099470
"Motorola G67 Power 5G (Pantone Cilantro, 8GB RAM, 128GB Storage) | 6.7"" FHD+ 120Hz LCD Display | Snapdragon 7s Gen2 Processor | 50MP + 8MP UW Camera | 7000mAh Battery with 30W Charger | IP64",Motorola,smartphones,18199.0,18999.0,4.0,4.2,517.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.277333
"Samsung Galaxy F06 5G, Bahama Blue (4GB, 128GB)",Samsung,smartphones,11660.0,13999.0,17.0,4.1,757.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.451358
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",SAMSUNG,smartphones,9499.0,10999.0,14.0,3.7,92.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.618338
"Vivo T4x 5G (Marine Blue, 128 GB) (8 GB RAM)",Vivo,smartphones,19249.0,19499.0,1.0,4.4,3320.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.759339
"REDMI Note 15 Pro+ 5G (Coffee Mocha, 12GB + 256GB) | 200MasterPixel OIS Camera | Snapdragon 7s Gen 4 | CrystalRes AMOLED | IP69/69K | 6500mAh Si/C Battery | 100W HyperCharge",REDMI,smartphones,41998.0,41998.0,,4.2,227.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.872338
"Apple iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Space Black",Apple,smartphones,101190.0,119900.0,16.0,4.5,44.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:39.999368
"REDMI A7 Pro 5G (Mist Blue, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,11999.0,15999.0,25.0,3.6,274.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:47.437935
REDMI 15 5G Frosted White 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,REDMI,smartphones,22499.0,36999.0,39.0,4.1,1919.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:47.564935
"OPPO K14x 5G Smartphone, Prism Violet, 4GB RAM, 64GB Storage, 6500mAh Battery, 45W Fast Charge",OPPO,smartphones,14749.0,19999.0,26.0,4.7,9.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:47.701193
Poco C85 5G Power Black 6GB RAM 128GB ROM,Poco,smartphones,14089.0,15499.0,9.0,3.9,8.0,1,"FREE delivery Wed, 20 May",,amazon,2026-05-17,2026-05-17T22:59:47.839198
