name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"Lava Bold N2 (Siachen White, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8899.0,9499.0,6.0,3.6,59.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:49.123130
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in the Box",Redmi,smartphones,11999.0,11999.0,,4.0,5723.0,1,FREE delivery 28 Apr - 7 May,,amazon,2026-04-26,2026-04-26T23:00:49.799410
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,12199.0,12199.0,,4.5,297.0,1,"FREE delivery Sat, 2 May",,amazon,2026-04-26,2026-04-26T23:00:50.060998
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1176.0,1,FREE delivery 28 - 30 Apr,,amazon,2026-04-26,2026-04-26T23:00:50.351134
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,12499.0,13999.0,11.0,4.0,2641.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:50.709625
"POCO C71, Cool Blue (4GB, 64GB)",POCO,smartphones,8999.0,8999.0,,4.0,2685.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:51.076187
"Vivo T4x 5G (Marine Blue, 128 GB) (8 GB RAM)",Vivo,smartphones,18949.0,19499.0,3.0,4.4,3199.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:51.531261
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",SAMSUNG,smartphones,9880.0,10999.0,10.0,3.6,56.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:52.084389
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,16099.0,17999.0,11.0,4.2,330.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:52.486133
"iQOO Z11x 5G (Prismatic Green, 6GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6",iQOO,smartphones,22999.0,28999.0,21.0,4.2,235.0,1,"FREE delivery Fri, 1 May",,amazon,2026-04-26,2026-04-26T23:00:53.000764
"acerpure Acerone Liquid 4G Smartphone (Blue, 4GB RAM, 64GB Storage) with 6.5"" IPS Display, 20MP Rear Camera, 5000mAh Battery, Android 14, Octa-Core MT6765 Processor",acerpure,smartphones,6999.0,18900.0,63.0,3.4,8.0,1,"FREE delivery Sat, 2 May",,amazon,2026-04-26,2026-04-26T23:00:53.423999
"iQOO Z11x 5G (Prismatic Green, 8GB RAM, 256 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6",iQOO,smartphones,26999.0,33999.0,21.0,4.2,235.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:53.851700
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,22749.0,28999.0,22.0,3.5,31.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:54.356494
"Motorola G67 Power 5G (Pantone Cilantro, 8GB RAM, 128GB Storage) | 6.7"" FHD+ 120Hz LCD Display | Snapdragon 7s Gen2 Processor | 50MP + 8MP UW Camera | 7000mAh Battery with 30W Charger | IP64",Motorola,smartphones,17090.0,18999.0,10.0,4.2,476.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:54.840034
"OPPO K14x 5G Smartphone, Prism Violet, 4GB RAM, 64GB Storage, 6500mAh Battery, 45W Fast Charge",OPPO,smartphones,14749.0,19999.0,26.0,5.0,4.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:56.602970
"realme narzo 100 Lite 5G (Frost Silver,4GB+64GB) | 7000mAh Titan Battery | 4 Years, Zero Lag | 144 Hz Ultra Smooth Display | 6 nm Octa-core 5G Chipset | Color Pop Design | VC Cooling",realme,smartphones,13499.0,24999.0,46.0,,,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:57.541370
"Samsung Galaxy M56 5G Mobile (Light Green,8GB RAM,256GB Storage)| Segment's Slimmest|Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-free Gaming| Without Charger",Samsung,smartphones,26499.0,36999.0,28.0,4.3,1378.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:00:57.960250
"Nothing Phone (3a) Lite (White, 128 GB) (8 GB RAM)",Nothing,smartphones,22280.0,29999.0,26.0,4.3,82.0,1,"FREE delivery Thu, 30 Apr",,amazon,2026-04-26,2026-04-26T23:01:08.944227
