name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,14999.0,15999.0,6.0,3.5,379.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-24,2026-05-24T21:38:15.596366
"Lava Bold N2 (Indus Black, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8899.0,10499.0,15.0,3.6,113.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-24,2026-05-24T21:38:16.052519
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1413.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-24,2026-05-24T21:38:16.537410
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,4.0,327.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-24,2026-05-24T21:38:16.771291
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,23999.0,25999.0,8.0,4.3,2700.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-24,2026-05-24T21:38:18.591319
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,16499.0,17999.0,8.0,4.1,2622.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-24,2026-05-24T21:38:18.857173
Poco C85 5G Power Black 6GB RAM 128GB ROM,Poco,smartphones,14499.0,15499.0,6.0,3.8,71.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-24,2026-05-24T21:38:19.333905
"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",iQOO,smartphones,26999.0,26999.0,,4.4,4323.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-24,2026-05-24T21:38:19.655023
"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording",OnePlus,smartphones,22999.0,31999.0,28.0,3.8,67.0,1,"FREE delivery Wed, 27 May",,amazon,2026-05-24,2026-05-24T21:38:19.990444
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,13999.0,13999.0,,4.0,2823.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-24,2026-05-24T21:38:20.416805
