name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,15999.0,16999.0,6.0,3.5,444.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-27,2026-05-27T21:39:01.241845
"REDMI Note 15 5G (Glacier Blue, 8GB RAM 256GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | 5520mAh Battery | 45W Fast Charging",REDMI,smartphones,27999.0,28999.0,3.0,4.2,756.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-27,2026-05-27T21:39:01.433607
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1443.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-27,2026-05-27T21:39:01.714464
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,3.9,296.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-27,2026-05-27T21:39:01.863173
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,13999.0,13999.0,,4.0,2830.0,1,"FREE delivery Sun, 31 May",,amazon,2026-05-27,2026-05-27T21:39:02.049523
"POCO C85x 5G Smartphone, Elite Black, 6.9 Inch Display, 32MP Dual AI Camera, 6300mAh Battery, 64GB Storage, 4GB RAM, Android 16",POCO,smartphones,12730.0,13499.0,6.0,3.5,11.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-27,2026-05-27T21:39:02.278044
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",SAMSUNG,smartphones,9999.0,10999.0,9.0,3.7,114.0,1,"FREE delivery Sun, 31 May",,amazon,2026-05-27,2026-05-27T21:39:02.457061
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 8GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,18499.0,20999.0,12.0,4.0,2706.0,1,FREE delivery 29 May - 5 Jun,,amazon,2026-05-27,2026-05-27T21:39:02.658931
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,22399.0,28999.0,23.0,4.1,102.0,1,"FREE delivery Fri, 29 May",,amazon,2026-05-27,2026-05-27T21:39:02.855219
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,,,,4.2,424.0,0,,,amazon,2026-05-27,2026-05-27T21:39:03.031321
