name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,12999.0,16999.0,24.0,3.5,163.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:36.679607
"Samsung Galaxy M56 5G Mobile (Light Green,8GB RAM,128GB Storage)| Segment Slimmest | Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-free Gaming| Without Charger",Samsung,smartphones,21998.0,33999.0,35.0,4.3,1552.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:36.925866
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,20748.0,25999.0,20.0,4.3,2571.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:37.194943
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,4.4,308.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:37.389773
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,11499.0,13999.0,18.0,4.0,2768.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:37.651400
"POCO C71, Desert Gold (4GB, 64GB)",POCO,smartphones,8999.0,8999.0,,4.0,2822.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:37.890017
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,16464.0,17999.0,9.0,4.2,379.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:38.065339
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9499.0,10999.0,14.0,4.2,1338.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:38.228691
"realme NARZO 90x 5G (Flash Blue,8GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in the Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker",realme,smartphones,17999.0,17999.0,,4.2,1105.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:38.331302
"iQOO Z10 Lite 5G (Cyber Green, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",iQOO,smartphones,14998.0,14998.0,,4.2,6913.0,1,FREE delivery 13 - 21 May,,amazon,2026-05-11,2026-05-11T22:12:38.505626
"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 6GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger",Samsung,smartphones,13999.0,18999.0,26.0,3.9,195.0,1,FREE delivery,,amazon,2026-05-11,2026-05-11T22:12:38.780655
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,15498.0,17999.0,14.0,4.1,2346.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:38.970266
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,21999.0,28999.0,24.0,4.0,75.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:39.382638
"iQOO Z10 5G (Stellar Black, 8GB RAM, 128GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7s Gen 3 Processor | Brightest Quad Curved AMOLED Display in the Segment",iQOO,smartphones,24998.0,25999.0,4.0,4.4,5233.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:39.597693
"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",iQOO,smartphones,26998.0,26998.0,,4.4,4193.0,1,"FREE delivery Wed, 13 May",,amazon,2026-05-11,2026-05-11T22:12:39.760602
