name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,15999.0,16999.0,6.0,3.6,333.0,1,FREE delivery 23 May - 1 Jun,,amazon,2026-05-21,2026-05-21T21:32:36.349804
"REDMI Note 15 Pro+ 5G (Mirage Blue, 8GB + 256GB) | 200MasterPixel OIS Camera | Snapdragon 7s Gen 4 | CrystalRes AMOLED | IP69/69K | 6500mAh Si/C Battery | 100W HyperCharge",REDMI,smartphones,39999.0,39999.0,,4.2,229.0,1,"FREE delivery Sat, 23 May",,amazon,2026-05-21,2026-05-21T21:32:37.230344
"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",realme,smartphones,13399.0,13399.0,,4.1,321.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-21,2026-05-21T21:32:38.000819
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,22399.0,28999.0,23.0,4.1,90.0,1,"FREE delivery Sat, 23 May",,amazon,2026-05-21,2026-05-21T21:32:38.318018
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9999.0,10999.0,9.0,4.2,1389.0,1,"FREE delivery Sat, 23 May",,amazon,2026-05-21,2026-05-21T21:32:38.503213
"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording",OnePlus,smartphones,22999.0,31999.0,28.0,4.2,19.0,1,"FREE delivery Thu, 28 May",,amazon,2026-05-21,2026-05-21T21:32:39.254050
"realme NARZO 80 Pro 5G (Speed Silver,12GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,23999.0,27999.0,14.0,4.3,2668.0,1,"FREE delivery Sat, 23 May",,amazon,2026-05-21,2026-05-21T21:32:40.148616
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,13999.0,13999.0,,4.0,2810.0,1,"FREE delivery Mon, 25 May",,amazon,2026-05-21,2026-05-21T21:32:40.845948
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,16499.0,17999.0,8.0,4.1,2545.0,1,"FREE delivery Tue, 26 May",,amazon,2026-05-21,2026-05-21T21:32:41.591690
"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",iQOO,smartphones,26999.0,26999.0,,4.4,4299.0,1,"FREE delivery Mon, 25 May",,amazon,2026-05-21,2026-05-21T21:32:42.690363
